title,price,old_price,discount_offer,image_urls,images
BMX KHE Blaze,21399,nan,0,https://cdn.sptmr.ru/sportmaster.ru/images/icon_new_collection.png?sv=df873941360fec04,"[{'url': 'https://cdn.sptmr.ru/sportmaster.ru/images/icon_new_collection.png?sv=df873941360fec04', 'path': 'full/53e9fb2983074691ed9e2963e3140b5a305dfd67.jpg', 'checksum': '2e46842cfd55c3a8a4b31a476e383912'}]"
BMX KHE Chris Bohm SE,22599,nan,0,https://cdn.sptmr.ru/sportmaster.ru/images/icon_new_collection.png?sv=df873941360fec04,"[{'url': 'https://cdn.sptmr.ru/sportmaster.ru/images/icon_new_collection.png?sv=df873941360fec04', 'path': 'full/53e9fb2983074691ed9e2963e3140b5a305dfd67.jpg', 'checksum': '2e46842cfd55c3a8a4b31a476e383912'}]"
BMX KHE Catweazle,23299,nan,0,https://cdn.sptmr.ru/sportmaster.ru/images/icon_new_collection.png?sv=df873941360fec04,"[{'url': 'https://cdn.sptmr.ru/sportmaster.ru/images/icon_new_collection.png?sv=df873941360fec04', 'path': 'full/53e9fb2983074691ed9e2963e3140b5a305dfd67.jpg', 'checksum': '2e46842cfd55c3a8a4b31a476e383912'}]"
BMX KHE Arsenic 18,23999,nan,0,https://cdn.sptmr.ru/sportmaster.ru/images/icon_new_collection.png?sv=df873941360fec04,"[{'url': 'https://cdn.sptmr.ru/sportmaster.ru/images/icon_new_collection.png?sv=df873941360fec04', 'path': 'full/53e9fb2983074691ed9e2963e3140b5a305dfd67.jpg', 'checksum': '2e46842cfd55c3a8a4b31a476e383912'}]"
BMX KHE Arsenic 18,24799,nan,0,https://cdn.sptmr.ru/sportmaster.ru/images/icon_new_collection.png?sv=df873941360fec04,"[{'url': 'https://cdn.sptmr.ru/sportmaster.ru/images/icon_new_collection.png?sv=df873941360fec04', 'path': 'full/53e9fb2983074691ed9e2963e3140b5a305dfd67.jpg', 'checksum': '2e46842cfd55c3a8a4b31a476e383912'}]"
"горный Stern Motion 2.0 27,5",24999,nan,0,https://cdn.sptmr.ru/sportmaster.ru/images/icon_new_collection.png?sv=df873941360fec04,"[{'url': 'https://cdn.sptmr.ru/sportmaster.ru/images/icon_new_collection.png?sv=df873941360fec04', 'path': 'full/53e9fb2983074691ed9e2963e3140b5a305dfd67.jpg', 'checksum': '2e46842cfd55c3a8a4b31a476e383912'}]"
горный Stern Force 1.0 alt 29,25999,nan,0,https://cdn.sptmr.ru/sportmaster.ru/images/icon_new_collection.png?sv=df873941360fec04,"[{'url': 'https://cdn.sptmr.ru/sportmaster.ru/images/icon_new_collection.png?sv=df873941360fec04', 'path': 'full/53e9fb2983074691ed9e2963e3140b5a305dfd67.jpg', 'checksum': '2e46842cfd55c3a8a4b31a476e383912'}]"
BMX KHE Cope,26599,nan,0,https://cdn.sptmr.ru/sportmaster.ru/images/icon_new_collection.png?sv=df873941360fec04,"[{'url': 'https://cdn.sptmr.ru/sportmaster.ru/images/icon_new_collection.png?sv=df873941360fec04', 'path': 'full/53e9fb2983074691ed9e2963e3140b5a305dfd67.jpg', 'checksum': '2e46842cfd55c3a8a4b31a476e383912'}]"
"горный Stern Motion 4.0 27,5",27999,nan,0,https://cdn.sptmr.ru/sportmaster.ru/images/icon_new_collection.png?sv=df873941360fec04,"[{'url': 'https://cdn.sptmr.ru/sportmaster.ru/images/icon_new_collection.png?sv=df873941360fec04', 'path': 'full/53e9fb2983074691ed9e2963e3140b5a305dfd67.jpg', 'checksum': '2e46842cfd55c3a8a4b31a476e383912'}]"
складной Tern Link B7 20,27999,,,https://cdn.sptmr.ru/sportmaster.ru/images/icon_new_collection.png?sv=df873941360fec04,"[{'url': 'https://cdn.sptmr.ru/sportmaster.ru/images/icon_new_collection.png?sv=df873941360fec04', 'path': 'full/53e9fb2983074691ed9e2963e3140b5a305dfd67.jpg', 'checksum': '2e46842cfd55c3a8a4b31a476e383912'}]"
